EEG554165502,EC1,0
EEG554165503,EC2,0.00390625
EEG554165504,EC3,0.0078125
EEG554165505,EC4,0.01171875
EEG554165506,EC5,0.015625
EEG554165507,EC6,0.01953125
EEG554165508,EC7,0.0234375
EEG554165509,EC8,0.02734375
EEG554165510,EC9,0.03125
EEG554165511,EC10,0.03515625
EEG554165512,EC11,0.0390625
EEG554165513,EC12,0.04296875
EEG554165514,EC13,0.046875
EEG554165515,EC14,0.05078125
EEG554165516,EC15,0.0546875
EEG554165517,EC16,0.05859375
EEG554165518,EC17,0.0625
EEG554165519,EC18,0.06640625
EEG554165520,EC19,0.0703125
EEG554165521,EC20,0.07421875
EEG554165522,EC21,0.078125
EEG554165523,EC22,0.08203125
EEG554165524,EC23,0.0859375
EEG554165525,EC24,0.08984375
EEG554165526,EC25,0.09375
EEG554165527,EC26,0.09765625
EEG554165528,EC27,0.1015625
EEG554165529,EC28,0.10546875
EEG554165530,EC29,0.109375
EEG554165531,EC1,0.11328125
EEG554165532,EC2,0.1171875
EEG554165533,EC3,0.12109375
EEG554165534,EC4,0.125
EEG554165535,EC5,0.12890625
EEG554165536,EC6,0.1328125
EEG554165537,EC7,0.13671875
EEG554165538,EC8,0.140625
EEG554165539,EC9,0.14453125
EEG554165540,EC10,0.1484375
EEG554165541,EC11,0.15234375
EEG554165542,EC12,0.15625
EEG554165543,EC13,0.16015625
EEG554165544,EC14,0.1640625
EEG554165545,EC15,0.16796875
EEG554165546,EC16,0.171875
EEG554165547,EC17,0.17578125
EEG554165548,EC18,0.1796875
EEG554165549,EC19,0.18359375
EEG554165550,EC20,0.1875
EEG554165551,EC21,0.19140625
EEG554165552,EC22,0.1953125
EEG554165553,EC23,0.19921875
EEG554165554,EC24,0.203125
EEG554165555,EC25,0.20703125
EEG554165556,EC26,0.2109375
EEG554165557,EC27,0.21484375
EEG554165558,EC28,0.21875
EEG554165559,EC29,0.22265625
EEG554165560,EC1,0.2265625
EEG554165561,EC2,0.23046875
EEG554165562,EC3,0.234375
EEG554165563,EC4,0.23828125
EEG554165564,EC5,0.2421875
EEG554165565,EC6,0.24609375
EEG554165566,EC7,0.25
EEG554165567,EC8,0.25390625
EEG554165568,EC9,0.2578125
EEG554165569,EC10,0.26171875
EEG554165570,EC11,0.265625
EEG554165571,EC12,0.26953125
EEG554165572,EC13,0.2734375
EEG554165573,EC14,0.27734375
EEG554165574,EC15,0.28125
EEG554165575,EC16,0.28515625
EEG554165576,EC17,0.2890625
EEG554165577,EC18,0.29296875
EEG554165578,EC19,0.296875
EEG554165579,EC20,0.30078125
EEG554165580,EC21,0.3046875
EEG554165581,EC22,0.30859375
EEG554165582,EC23,0.3125
EEG554165583,EC24,0.31640625
EEG554165584,EC25,0.3203125
EEG554165585,EC26,0.32421875
EEG554165586,EC27,0.328125
EEG554165587,EC28,0.33203125
EEG554165588,EC29,0.3359375
EEG554165589,EC1,0.33984375
EEG554165590,EC2,0.34375
EEG554165591,EC3,0.34765625
EEG554165592,EC4,0.3515625
EEG554165593,EC5,0.35546875
EEG554165594,EC6,0.359375
EEG554165595,EC7,0.36328125
EEG554165596,EC8,0.3671875
EEG554165597,EC9,0.37109375
EEG554165598,EC10,0.375
EEG554165599,EC11,0.37890625
EEG554165600,EC12,0.3828125
EEG554165601,EC13,0.38671875
EEG554165602,EC14,0.390625
EEG554165603,EC15,0.39453125
