,Open1,Open2,Open3,Open4,Open5,Low1,Low2,Low3,Low4,Low5,High1,High2,High3,High4,High5,Vol_1,Vol_2,Vol_3,Vol_4,Vol_5,Pos1,Pos2,Pos3,Pos4,Pos5,Neg1,Neg2,Neg3,Neg4,Neg5,Close1,Close2,Close3,Close4,Close5,Close
0,14112.2001953125,13625.0,14978.2001953125,15270.7001953125,15477.2001953125,13154.7001953125,13163.599609375,14844.5,14522.2001953125,15202.7998046875,14112.2001953125,15444.599609375,15572.7998046875,15739.7001953125,17705.19921875,10291200000,16846600192,16871900160,21783199744,23840899072,0.145733556,0.279137512,0.213050956,0.201033647,0.227315827,0.854266444,0.720862488,0.786949044,0.798966353,0.772684173,13657.2001953125,14982.099609375,15201.0,15599.2001953125,17429.5,17527.0
1,13625.0,14978.2001953125,15270.7001953125,15477.2001953125,17462.099609375,13163.599609375,14844.5,14522.2001953125,15202.7998046875,16764.599609375,15444.599609375,15572.7998046875,15739.7001953125,17705.19921875,17712.400390625,16846600192,16871900160,21783199744,23840899072,18314600448,0.279137512,0.213050956,0.201033647,0.227315827,0.224865433,0.720862488,0.786949044,0.798966353,0.772684173,0.775134567,14982.099609375,15201.0,15599.2001953125,17429.5,17527.0,16477.599609375
2,14978.2001953125,15270.7001953125,15477.2001953125,17462.099609375,17527.30078125,14844.5,14522.2001953125,15202.7998046875,16764.599609375,16087.7001953125,15572.7998046875,15739.7001953125,17705.19921875,17712.400390625,17579.599609375,16871900160,21783199744,23840899072,18314600448,15866000384,0.213050956,0.201033647,0.227315827,0.224865433,0.212849321,0.786949044,0.798966353,0.772684173,0.775134567,0.787150679,15201.0,15599.2001953125,17429.5,17527.0,16477.599609375,15170.099609375
3,15270.7001953125,15477.2001953125,17462.099609375,17527.30078125,16476.19921875,14522.2001953125,15202.7998046875,16764.599609375,16087.7001953125,14208.2001953125,15739.7001953125,17705.19921875,17712.400390625,17579.599609375,16537.900390625,21783199744,23840899072,18314600448,15866000384,18413899776,0.201033647,0.227315827,0.224865433,0.212849321,0.174523144,0.798966353,0.772684173,0.775134567,0.787150679,0.825476856,15599.2001953125,17429.5,17527.0,16477.599609375,15170.099609375,14595.400390625
4,15477.2001953125,17462.099609375,17527.30078125,16476.19921875,15123.7001953125,15202.7998046875,16764.599609375,16087.7001953125,14208.2001953125,14424.0,17705.19921875,17712.400390625,17579.599609375,16537.900390625,15497.5,23840899072,18314600448,15866000384,18413899776,16659999744,0.227315827,0.224865433,0.212849321,0.174523144,0.268976246,0.772684173,0.775134567,0.787150679,0.825476856,0.731023754,17429.5,17527.0,16477.599609375,15170.099609375,14595.400390625,14973.2998046875
5,17462.099609375,17527.30078125,16476.19921875,15123.7001953125,14588.5,16764.599609375,16087.7001953125,14208.2001953125,14424.0,13691.2001953125,17712.400390625,17579.599609375,16537.900390625,15497.5,14973.2998046875,18314600448,15866000384,18413899776,16659999744,18500800512,0.224865433,0.212849321,0.174523144,0.268976246,0.211969211,0.775134567,0.787150679,0.825476856,0.731023754,0.788030789,17527.0,16477.599609375,15170.099609375,14595.400390625,14973.2998046875,13405.7998046875
6,17527.30078125,16476.19921875,15123.7001953125,14588.5,14968.2001953125,16087.7001953125,14208.2001953125,14424.0,13691.2001953125,13105.900390625,17579.599609375,16537.900390625,15497.5,14973.2998046875,15018.7998046875,15866000384,18413899776,16659999744,18500800512,16534099968,0.212849321,0.174523144,0.268976246,0.211969211,0.176132073,0.787150679,0.825476856,0.731023754,0.788030789,0.823867927,16477.599609375,15170.099609375,14595.400390625,14973.2998046875,13405.7998046875,13980.599609375
7,16476.19921875,15123.7001953125,14588.5,14968.2001953125,13453.900390625,14208.2001953125,14424.0,13691.2001953125,13105.900390625,13158.099609375,16537.900390625,15497.5,14973.2998046875,15018.7998046875,14229.900390625,18413899776,16659999744,18500800512,16534099968,12065699840,0.174523144,0.268976246,0.211969211,0.176132073,0.17800131,0.825476856,0.731023754,0.788030789,0.823867927,0.82199869,15170.099609375,14595.400390625,14973.2998046875,13405.7998046875,13980.599609375,14360.2001953125
8,15123.7001953125,14588.5,14968.2001953125,13453.900390625,13952.400390625,14424.0,13691.2001953125,13105.900390625,13158.099609375,13952.400390625,15497.5,14973.2998046875,15018.7998046875,14229.900390625,14659.5,16659999744,18500800512,16534099968,12065699840,12763599872,0.268976246,0.211969211,0.176132073,0.17800131,0.179452766,0.731023754,0.788030789,0.823867927,0.82199869,0.820547234,14595.400390625,14973.2998046875,13405.7998046875,13980.599609375,14360.2001953125,13772.0
9,14588.5,14968.2001953125,13453.900390625,13952.400390625,14370.7998046875,13691.2001953125,13105.900390625,13158.099609375,13952.400390625,13268.0,14973.2998046875,15018.7998046875,14229.900390625,14659.5,14511.7998046875,18500800512,16534099968,12065699840,12763599872,11084099584,0.211969211,0.176132073,0.17800131,0.179452766,0.20321386,0.788030789,0.823867927,0.82199869,0.820547234,0.79678614,14973.2998046875,13405.7998046875,13980.599609375,14360.2001953125,13772.0,13819.7998046875
